timestamp,occupation,status,domain,count
2020-05-02,Sales and marketing support,new,ph,130
2020-05-02,Sales and marketing support,new,ru,67
2020-05-02,Software development and technology,new,es,165
2020-05-02,Software development and technology,new,ph,4
2020-05-02,Software development and technology,new,ru,269
2020-05-02,Writing and translation,new,es,26
2020-05-02,Writing and translation,new,ph,26
2020-05-02,Writing and translation,new,ru,45
2020-05-03,Clerical and data entry,new,es,10
2020-05-03,Clerical and data entry,new,ph,112
2020-05-03,Clerical and data entry,new,ru,14
2020-05-03,Creative and multimedia,new,es,54
2020-05-03,Creative and multimedia,new,ph,35
2020-05-03,Creative and multimedia,new,ru,159
2020-05-03,Professional services,new,es,1
2020-05-03,Professional services,new,ru,14
2020-05-03,Sales and marketing support,new,es,5
2020-05-03,Sales and marketing support,new,ph,147
2020-05-03,Sales and marketing support,new,ru,55
2020-05-03,Software development and technology,new,es,152
2020-05-03,Software development and technology,new,ph,3
2020-05-03,Software development and technology,new,ru,245
2020-05-03,Writing and translation,new,es,24
2020-05-03,Writing and translation,new,ph,30
2020-05-03,Writing and translation,new,ru,40
2020-05-04,Clerical and data entry,new,es,4
2020-05-04,Clerical and data entry,new,ph,50
2020-05-04,Clerical and data entry,new,ru,4
2020-05-04,Creative and multimedia,new,es,46
2020-05-04,Creative and multimedia,new,ph,26
2020-05-04,Creative and multimedia,new,ru,172
2020-05-04,Professional services,new,ru,16
2020-05-04,Sales and marketing support,new,es,7
2020-05-04,Sales and marketing support,new,ph,101
2020-05-04,Sales and marketing support,new,ru,57
2020-05-04,Software development and technology,new,es,170
2020-05-04,Software development and technology,new,ph,2
2020-05-04,Software development and technology,new,ru,243
2020-05-04,Writing and translation,new,es,17
2020-05-04,Writing and translation,new,ph,11
2020-05-04,Writing and translation,new,ru,44
2020-05-05,Clerical and data entry,new,es,10
2020-05-05,Clerical and data entry,new,ph,89
2020-05-05,Clerical and data entry,new,ru,16
2020-05-05,Creative and multimedia,new,es,73
2020-05-05,Creative and multimedia,new,ph,36
2020-05-05,Creative and multimedia,new,ru,247
2020-05-05,Professional services,new,es,1
2020-05-05,Professional services,new,ru,27
2020-05-05,Sales and marketing support,new,es,7
2020-05-05,Sales and marketing support,new,ph,166
2020-05-05,Sales and marketing support,new,ru,93
2020-05-05,Software development and technology,new,es,159
2020-05-05,Software development and technology,new,ph,6
2020-05-05,Software development and technology,new,ru,425
2020-05-05,Writing and translation,new,es,15
2020-05-05,Writing and translation,new,ph,25
2020-05-05,Writing and translation,new,ru,73
2020-05-06,Clerical and data entry,new,es,9
2020-05-06,Clerical and data entry,new,ph,163
2020-05-06,Clerical and data entry,new,ru,12
2020-05-06,Creative and multimedia,new,es,53
2020-05-06,Creative and multimedia,new,ph,63
2020-05-06,Creative and multimedia,new,ru,222
2020-05-06,Professional services,new,es,1
2020-05-06,Professional services,new,ru,30
2020-05-06,Sales and marketing support,new,es,6
2020-05-06,Sales and marketing support,new,ph,278
2020-05-06,Sales and marketing support,new,ru,100
2020-05-06,Software development and technology,new,es,196
2020-05-06,Software development and technology,new,ph,6
2020-05-06,Software development and technology,new,ru,383
2020-05-06,Writing and translation,new,es,22
2020-05-06,Writing and translation,new,ph,32
2020-05-06,Writing and translation,new,ru,47
2020-05-07,Clerical and data entry,new,es,10
2020-05-07,Clerical and data entry,new,ph,129
2020-05-07,Clerical and data entry,new,ru,18
2020-05-07,Creative and multimedia,new,es,68
2020-05-07,Creative and multimedia,new,ph,54
2020-05-07,Creative and multimedia,new,ru,264
2020-05-07,Professional services,new,es,3
2020-05-07,Professional services,new,ph,1
2020-05-07,Professional services,new,ru,16
2020-05-07,Sales and marketing support,new,es,9
2020-05-07,Sales and marketing support,new,ph,193
2020-05-07,Sales and marketing support,new,ru,88
2020-05-07,Software development and technology,new,es,154
2020-05-07,Software development and technology,new,ph,10
2020-05-07,Software development and technology,new,ru,446
2020-05-07,Writing and translation,new,es,23
2020-05-07,Writing and translation,new,ph,43
2020-05-07,Writing and translation,new,ru,60
2020-05-08,Clerical and data entry,new,es,11
2020-05-08,Clerical and data entry,new,ph,112
2020-05-08,Clerical and data entry,new,ru,18
2020-05-08,Creative and multimedia,new,es,59
2020-05-08,Creative and multimedia,new,ph,39
2020-05-08,Creative and multimedia,new,ru,228
2020-05-08,Professional services,new,ru,16
2020-05-08,Sales and marketing support,new,es,10
2020-05-08,Sales and marketing support,new,ph,171
2020-05-08,Sales and marketing support,new,ru,96
2020-05-08,Software development and technology,new,es,164
2020-05-08,Software development and technology,new,ph,4
2020-05-08,Software development and technology,new,ru,496
2020-05-08,Writing and translation,new,es,11
2020-05-08,Writing and translation,new,ph,33
2020-05-08,Writing and translation,new,ru,56
2020-05-09,Clerical and data entry,new,ph,117
2020-05-09,Clerical and data entry,new,ru,2
2020-05-09,Creative and multimedia,new,ph,48
2020-05-09,Creative and multimedia,new,ru,76
2020-05-09,Professional services,new,ru,15
2020-05-09,Sales and marketing support,new,ph,241
2020-05-09,Sales and marketing support,new,ru,34
2020-05-09,Software development and technology,new,ph,13
2020-05-09,Software development and technology,new,ru,460
2020-05-09,Writing and translation,new,ph,34
2020-05-09,Writing and translation,new,ru,12
2020-05-10,Clerical and data entry,new,ph,59
2020-05-10,Creative and multimedia,new,ph,25
2020-05-10,Sales and marketing support,new,ph,109
2020-05-10,Software development and technology,new,ph,4
